pattern;pair;population;sample_n
X as well as Y;bad - good;5;1
X and Y;dry - wet;80;1
how X or Y;bad - good;30;1
X, not Y;new - old;2;1
either X or Y;private - public;6;1
from X to Y;permanent - temporary;1;1
more X than Y;alive - dead;28;1
between X and Y;long - short;3;1
X and Y;female - male;100;1
whether X or Y;cold - hot;1;1
whether X or Y;active - passive;2;1
neither X nor Y;false - true;7;1
whether X or Y;false - true;2;1
from X to Y;hard - soft;7;1
X or Y;rural - urban;62;1
neither X nor Y;optimistic - pessimistic;2;1
neither X nor Y;large - small;1;1
X and Y;large - small;100;1
how X or Y;cold - hot;7;1
X and Y;rural - urban;100;1
both X and Y;feminine - masculine;18;1
X and Y;optimistic - pessimistic;9;1
both X and Y;active - passive;10;1
X rather than Y;active - passive;15;1
neither X nor Y;new - old;1;1
either X or Y;right - wrong;16;1
more X than Y;feminine - masculine;1;1
X and Y;feminine - masculine;82;1
X and Y alike;poor - rich;43;1
between X and Y;false - true;6;1
neither X nor Y;female - male;4;1
whether X or Y;permanent - temporary;1;1
both X and Y;false - true;8;1
X and Y alike;bad - good;4;1
whether X or Y;private - public;11;1
X and Y;new - old;100;1
both X and Y;private - public;100;1
more X than Y;female - male;16;1
X or Y;heavy - light;9;1
X or Y;cold - hot;100;1
neither X nor Y;happy - sad;4;1
between X and Y;poor - rich;100;1
X or Y;new - old;57;1
how X or Y;difficult - easy;6;1
X and Y;long - short;100;1
both X and Y;female - male;100;1
X rather than Y;alive - dead;1;1
from X to Y;difficult - easy;1;1
X as well as Y;major - minor;1;1
whether X or Y;right - wrong;5;1
either X or Y;poor - rich;2;1
whether X or Y;dry - wet;3;1
both X and Y;fast - slow;2;1
more X than Y;bad - good;31;1
whether X or Y;long - short;1;1
X, not Y;alive - dead;5;1
either X or Y;high - low;16;1
either too X or too Y;long - short;2;1
between X and Y;fast - slow;1;1
either X or Y;permanent - temporary;7;1
X rather than Y;new - old;2;1
X, not Y;dry - wet;1;1
between X and Y;heavy - light;1;1
more X than Y;false - true;2;1
both X and Y;long - short;23;1
X rather than Y;bad - good;1;1
more X than Y;high - low;1;1
both X and Y;major - minor;8;1
both X and Y;bad - good;100;1
more X than Y;active - passive;1;1
between X and Y;permanent - temporary;1;1
both X and Y;alive - dead;12;1
X rather than Y;high - low;4;1
either X or Y;dry - wet;2;1
X and Y alike;new - old;1;1
both X and Y;high - low;34;1
both X and Y;cold - hot;18;1
X, not Y;happy - sad;2;1
X and Y;drunk - sober;1;1
X or Y;high - low;100;1
either X or Y;feminine - masculine;4;1
not X, but Y;active - passive;1;1
either X or Y;optimistic - pessimistic;2;1
X or Y;right - wrong;100;1
neither X nor Y;active - passive;2;1
either X or Y;alive - dead;8;1
neither X nor Y;alive - dead;8;1
either X or Y;heavy - light;1;1
X and Y alike;rural - urban;1;1
X and Y;hard - soft;64;1
X as well as Y;female - male;1;1
X and Y alike;large - small;2;1
X or Y;active - passive;16;1
from X to Y;active - passive;4;1
X and Y;private - public;100;1
between X and Y;difficult - easy;2;1
how X or Y;right - wrong;2;1
the very X and the very Y;poor - rich;5;1
X or Y;female - male;31;1
between X and Y;dry - wet;10;1
either X or Y;fast - slow;3;0
more X than Y;cold - hot;4;0
X rather than Y;private - public;2;0
X as well as Y;rural - urban;4;0
between X and Y;rural - urban;74;0
either X or Y;major - minor;2;0
X, not Y;active - passive;5;0
either too X or too Y;large - small;2;0
X and Y alike;female - male;6;0
whether X or Y;high - low;2;0
either too X or too Y;fast - slow;2;0
how X or Y;high - low;5;0
either X or Y;false - true;18;0
X and Y;active - passive;46;0
X and Y;bad - good;100;0
X rather than Y;rural - urban;1;0
X or Y;difficult - easy;15;0
between X and Y;hard - soft;8;0
both X and Y;large - small;100;0
either X or Y;large - small;4;0
from X to Y;long - short;4;0
between X and Y;alive - dead;3;0
X, not Y;high - low;1;0
from X to Y;happy - sad;3;0
from X to Y;new - old;5;0
between X and Y;feminine - masculine;4;0
X as well as Y;hard - soft;1;0
either X or Y;happy - sad;2;0
X or Y;optimistic - pessimistic;11;0
either too X or too Y;cold - hot;3;0
either X or Y;bad - good;39;0
X and Y;happy - sad;25;0
whether X or Y;new - old;1;0
X and Y alike;high - low;1;0
separating X and Y;female - male;1;0
X and Y;difficult - easy;8;0
both X and Y;hard - soft;8;0
X as opposed to Y;bad - good;1;0
either X or Y;female - male;11;0
from X to Y;large - small;22;0
either X or Y;cold - hot;4;0
X or Y;permanent - temporary;44;0
either X or Y;active - passive;2;0
both X and Y;new - old;77;0
neither X nor Y;poor - rich;4;0
how X or Y;large - small;18;0
X rather than Y;cold - hot;1;0
whether X or Y;bad - good;23;0
X or Y;private - public;100;0
X or Y;bad - good;100;0
either too X or too Y;bad - good;1;0
X as well as Y;private - public;8;0
both X and Y;heavy - light;2;0
X and Y;right - wrong;100;0
how X or Y;fast - slow;2;0
from X to Y;rural - urban;27;0
X, not Y;cold - hot;3;0
