pattern	pair	count
X and Y	new - old	4000
X and Y	difficult - easy	2895
X and Y	large - small	2672
X and Y	long - short	2287
X and Y	poor - rich	2287
X and Y	happy - sad	2118
X and Y	bad - good	2005
X and Y	hard - soft	1914
X and Y	cold - hot	1801
X and Y	dry - wet	1373
X and Y	fast - slow	1368
X and Y	high - low	1334
X and Y	heavy - light	1331
X and Y	alive - dead	1168
X and Y	false - true	997
X and Y	private - public	937
X and Y	active - passive	769
X and Y	right - wrong	655
X or Y	new - old	645
X or Y	bad - good	518
X and Y	rural - urban	483
X or Y	difficult - easy	436
X or Y	large - small	355
X and Y	permanent - temporary	354
X and Y	drunk - sober	279
X or Y	poor - rich	261
X or Y	right - wrong	239
X or Y	happy - sad	232
X or Y	high - low	226
X or Y	alive - dead	215
X or Y	false - true	187
X or Y	private - public	174
X or Y	cold - hot	172
X and Y	optimistic - pessimistic	160
X or Y	hard - soft	159
X or Y	dry - wet	145
X or Y	heavy - light	142
X and Y	feminine - masculine	132
X and Y	major - minor	131
X or Y	long - short	108
from X to Y	bad - good	105
X and Y	female - male	103
both X and Y	new - old	103
X or Y	permanent - temporary	88
X or Y	rural - urban	85
X or Y	active - passive	83
X or Y	fast - slow	73
X or Y	drunk - sober	64
X or Y	major - minor	55
both X and Y	large - small	51
how X or Y	large - small	46
X and Y alike	new - old	45
both X and Y	difficult - easy	43
both X and Y	private - public	40
both X and Y	happy - sad	39
X, not Y	bad - good	39
more X than Y	female - male	36
between X and Y	bad - good	36
X or Y	female - male	26
both X and Y	right - wrong	25
X or Y	feminine - masculine	24
both X and Y	false - true	24
between X and Y	new - old	22
more X than Y	bad - good	22
both X and Y	bad - good	21
more X than Y	difficult - easy	21
neither X nor Y	new - old	19
both X and Y	high - low	18
both X and Y	hard - soft	17
more X than Y	private - public	16
both X and Y	heavy - light	16
either X or Y	alive - dead	15
X, not Y	cold - hot	15
X or Y	optimistic - pessimistic	15
more X than Y	active - passive	15
neither X nor Y	difficult - easy	15
between X and Y	poor - rich	15
more X than Y	high - low	15
from X to Y	high - low	14
X, not Y	happy - sad	14
both X and Y	rural - urban	14
both X and Y	poor - rich	14
between X and Y	private - public	14
more X than Y	large - small	13
X, not Y	hard - soft	12
more X than Y	heavy - light	12
more X than Y	new - old	12
between X and Y	high - low	12
more X than Y	rural - urban	11
from X to Y	happy - sad	11
both X and Y	alive - dead	11
from X to Y	cold - hot	11
more X than Y	happy - sad	11
X, not Y	large - small	11
both X and Y	active - passive	10
between X and Y	rural - urban	10
both X and Y	cold - hot	10
more X than Y	poor - rich	9
X, not Y	false - true	9
X, not Y	alive - dead	9
not X, but Y	bad - good	9
from X to Y	new - old	9
how X or Y	hard - soft	9
between X and Y	cold - hot	9
both X and Y	permanent - temporary	8
either X or Y	bad - good	8
from X to Y	large - small	8
from X to Y	rural - urban	8
how X or Y	new - old	8
both X and Y	long - short	8
X, not Y	new - old	8
between X and Y	active - passive	7
either X or Y	false - true	7
X, not Y	difficult - easy	7
the very X and the very Y	new - old	7
either X or Y	high - low	7
both X and Y	fast - slow	7
either X or Y	new - old	7
how X or Y	bad - good	7
more X than Y	feminine - masculine	7
neither X nor Y	bad - good	7
either X or Y	private - public	7
neither X nor Y	cold - hot	6
more X than Y	cold - hot	6
X, not Y	long - short	6
more X than Y	false - true	6
either X or Y	poor - rich	6
X, not Y	poor - rich	6
between X and Y	feminine - masculine	5
more X than Y	alive - dead	5
either X or Y	cold - hot	5
more X than Y	optimistic - pessimistic	5
either X or Y	drunk - sober	5
whether X or Y	large - small	5
either too X or too Y	new - old	5
neither X nor Y	poor - rich	5
between X and Y	right - wrong	5
X, not Y	heavy - light	5
