alto	basso
superficiale	profondo
profondo	superficiale
basso	alto
bello	brutto
bianco	nero
brutto	bello
buono	cattivo
cattivo	buono
chiaro	scuro
corto	lungo
debole	forte
falso	vero
felice	triste
femminile	maschile
forte	debole
grande	piccolo
intelligente	stupido
largo	stretto
leggero	pesante
lontano	vicino
lungo	corto
malato	sano
maschile	femminile
morto	vivo
nero	bianco
giovane	vecchio
pesante	leggero
piccolo	grande
povero	ricco
pulito	sporco
superficiale	profondo
ricco	povero
veloce	lento
lento	veloce
sano	malato
scuro	chiaro
sporco	pulito
stretto	largo
stupido	intelligente
triste	felice
vecchio	giovane
vero	falso
vicino	lontano
vivo	morto
