	X and Y	X or Y	from X to Y	both X and Y	how X or Y	X and Y alike	X, not Y	more X than Y	between X and Y	neither X nor Y	either X or Y	not X, but Y	the very X and the very Y	whether X or Y	either too X or too Y	X as well as Y	X rather than Y	separating X and Y
new - old	4000	645	9	103	8	45	8	12	22	19	7	1	7	4	5	4		
difficult - easy	2895	436	3	43	1		7	21	2	15	4	1		1		4		
large - small	2672	355	8	51	46	2	11	13	3	2	4	1	1	5	1	2	2	
long - short	2287	108		8	3		6	4	1	4	1	1		1	2	1	2	
poor - rich	2287	261	4	14	1	4	6	9	15	5	6				1	3	1	
happy - sad	2118	232	11	39	2		14	11	2	3	2	2		1		1	3	
bad - good	2005	518	105	21	7	1	39	22	36	7	8	9	1			4	3	
hard - soft	1914	159	4	17	9		12	1	2	1	3	1		1			3	
cold - hot	1801	172	11	10	3		15	6	9	6	5				1	2	4	
dry - wet	1373	145	2	5			5	2		2						3		
fast - slow	1368	73	2	7	3		4	2	1	3	3	1				1		
high - low	1334	226	14	18			2	15	12	2	7				1	2		
heavy - light	1331	142	3	16	2		5	12		1		2				1		
alive - dead	1168	215	2	11			9	5	3	3	15	1		4			1	
false - true	997	187		24	1		9	6	1	4	7	1		2		1	2	
private - public	937	174	2	40			4	16	14	2	7			2		2	4	1
active - passive	769	83	3	10		1	1	15	7	5	3				1		4	
right - wrong	655	239		25	3		3	4	5	2	5	1					1	
rural - urban	483	85	8	14	2		1	11	10		1			2		3		
permanent - temporary	354	88		8	3		2	4	2	5	5			2		1	4	
drunk - sober	279	64	1	2			1	4		2	5	1						
optimistic - pessimistic	160	15	3	1				5		1	2						2	
feminine - masculine	132	24		4			4	7	5							1		
major - minor	131	55	2	4				2			1							
female - male	103	26		1			1	36		1							1	
