	X or Y	X and Y	both X and Y	between X and Y	from X to Y	X and Y alike	either X or Y	neither X nor Y	how X or Y	more X than Y	whether X or Y	X rather than Y	X as well as Y	X, not Y	the very X and the very Y	either too X or too Y	not X, but Y	separating X and Y	X as opposed to Y
bad - good	778	512	165	41	9	3	37	30	30	28	22	1	5	8		1			1
large - small	152	527	98	7	22	2	4	1	18		8	1	6			2			
private - public	125	485	178	26			6	1		1	11	2	8	2		1			
new - old	51	459	74	51	5	1	1	1	2	1	1	2		1	1				
high - low	177	432	34	58	43	1	15	1	5	1	1	4		1		3			
right - wrong	394	234	10				13	5	2	7	5								
rural - urban	58	265	73	73	27	1	3			1	3	1	4						
female - male	31	252	171			6	11	4		16			1					1	
poor - rich	97	198	17	156	10	40	1	4	4	1	9		3		5				
cold - hot	128	191	18	5	2		3	17	7	4	1	1		3		3			
alive - dead	180	24	12	3			8	8		27	4	1		4			1		
long - short	61	167	23	3	4		7	1	3		1					2			
false - true	141	28	4	6	1		17	4		1	2	1							
major - minor	44	81	8	6			2		1				1						
feminine - masculine	28	79	16	4			4	3		1				1					
dry - wet	48	77	18	10			2				3		1	1		1			
hard - soft	25	63	8	8	6		3												
active - passive	16	45	9	8	4		2	2		1	2	13		2					
happy - sad	44	23	9	1	3		2	3				2		1					
permanent - temporary	41	14	3	1	1		7			1	1			2					
fast - slow	25	25	2	1			3		2							2			
heavy - light	9	17	2	1				2											
drunk - sober	16			1															
difficult - easy	13	8		2	1				6		1					4			
optimistic - pessimistic	11	9	1	1			2	1	1										
