                       	 X e Y	 X o Y	 X ma Y	 a X e Y	 X , non Y	 sia X che Y	 sia X sia Y	 tanto X quanto Y	 tra X e Y	 non X ma Y	 o X o Y	 meno X che Y	 X invece_che Y	 X al_posto_di Y	 da X a Y
grande - piccolo       	  5027	   143	    284	      32	         8	           1	            	                9	         9	          6	       2	             	               	                	         
corto - lungo          	  3125	    82	     37	     113	         9	           1	            	                1	         4	           	       2	             	               	                	         
nuovo - vecchio        	  2581	   158	     33	      15	        21	           3	            	                4	         5	           	       1	             	              1	                	         
caldo - freddo         	  2278	    58	     29	       1	         9	            	           1	                2	          	          1	       1	             	               	                	         
alto - basso           	  2047	    77	     27	       9	        14	            	           1	                1	          	          5	       1	             	               	                	         
povero - ricco         	  1784	    42	     65	       1	         3	            	            	                5	          	          3	       2	             	               	                	         
lento - veloce         	  1663	    28	    157	       3	         2	            	            	                3	          	          2	       1	             	               	                	         
difficile - facile     	  1661	    72	     72	       3	        19	            	            	               14	          	          5	       1	             	               	                	         
duro - morbido         	  1571	    34	     55	        	         4	           1	           2	                1	          	           	        	             	               	                	         
leggero - pesante      	  1488	    35	     64	       1	         8	            	            	                 	         2	           	        	             	               	                	         
felice - triste        	  1424	    80	     55	       1	         4	            	            	                2	          	           	       3	             	               	                	         
buono - cattivo        	  1102	    79	     30	        	         8	           1	            	                1	         2	          2	       2	             	               	                	         
privato - pubblico     	   977	   210	     26	       1	        21	          13	          10	                1	         5	           	       1	             	               	                	         
falso - vero           	   835	   339	     61	       1	        13	           1	           1	                5	         2	          2	       1	            2	               	               1	         
morto - vivo           	   760	    45	     19	        	         3	           1	           1	                 	          	           	        	             	               	                	         
giusto - sbagliato     	   711	    73	     26	       2	         9	            	           1	                3	         2	          2	       1	             	               	                	         
attivo - passivo       	   579	    23	     11	        	         4	            	            	                 	         1	          2	        	             	               	                	         
maggiore - minore      	   243	   446	     11	       2	         6	            	            	                6	          	           	        	             	               	                	         
asciutto - bagnato     	   436	    14	      7	        	         1	            	            	                 	          	           	        	             	               	                	         
femminile - mascolino  	   419	    51	      3	        	         3	          16	          15	                1	         9	          1	        	             	               	                	         
permanente - temporaneo	   307	    64	     14	        	         1	           2	            	                 	          	           	       1	             	               	                	         
rurale - urbano        	   260	    24	       	        	         1	           3	            	                 	         1	           	        	             	               	                	        1
sobrio - ubriaco       	   217	    13	     22	        	         1	            	            	                 	          	           	        	             	               	                	         
ottimista - pessimista 	    93	     3	      1	        	         1	            	            	                1	          	           	        	             	               	                	         
femminile - maschile   	    32	     1	      2	        	          	           1	            	                 	          	           	        	             	               	                	         
