                       	 X e Y	 X o Y	 tra X e Y	 sia X che Y	 sia X sia Y	 a X e Y	 tanto X quanto Y	 X , non Y	 X ma Y	 o X o Y	 da X a Y
privato - pubblico     	  1700	   503	       158	          52	          31	       1	                3	         4	      1	        	        1
grande - piccolo       	   690	   214	        30	            	           1	      11	                 	         1	      3	        	        1
nuovo - vecchio        	   346	    25	        66	           1	           1	       2	                 	          	      1	        	         
maggiore - minore      	    41	   338	         1	            	            	        	                7	         2	       	        	         
alto - basso           	   219	    38	        36	            	            	       1	                 	          	       	       1	        2
attivo - passivo       	   195	    30	          	           4	           3	        	                 	          	       	        	         
buono - cattivo        	   117	   152	        27	           2	            	        	                 	          	       	       1	         
falso - vero           	    31	   108	        17	           1	           1	        	                 	         1	       	       2	         
giusto - sbagliato     	    20	    92	         2	            	            	        	                 	         1	       	        	         
caldo - freddo         	    77	    48	         1	           5	           3	        	                 	          	       	        	         
povero - ricco         	    58	    29	          	           1	            	        	                 	          	      3	        	         
morto - vivo           	    12	    56	          	           1	            	        	                 	         1	      1	        	         
permanente - temporaneo	    15	    24	          	           2	            	        	                 	          	       	        	         
corto - lungo          	    11	    22	          	            	            	        	                 	          	       	       1	         
leggero - pesante      	    21	     7	         1	            	            	        	                 	          	       	        	         
rurale - urbano        	    21	     2	         1	           2	            	        	                 	          	      1	        	         
felice - triste        	     7	    14	          	            	            	        	                 	          	       	        	         
difficile - facile     	     4	    10	          	            	            	        	                 	          	       	        	         
ottimista - pessimista 	     5	     8	         2	            	            	        	                 	         1	       	        	         
lento - veloce         	     8	     5	         1	            	            	        	                 	          	       	        	         
duro - morbido         	     4	     4	          	            	            	        	                 	          	       	        	         
asciutto - bagnato     	     3	     3	          	            	            	        	                 	          	       	        	         
sobrio - ubriaco       	      	     2	          	            	            	        	                 	         1	       	        	         
femminile - mascolino  	      	     1	          	            	            	        	                 	          	       	        	         
